experiment_id,timestamp,test_strategy,container_id,device_type,firmware_version,open_port,protocol,service,auth_required,test_id,test_type,payload_size,timeout,vulnerability_found,execution_time_ms,simulation_mode,simulation_iteration,automl_tool,baseline_strategy
c01959bb-0530-43c4-817c-80673654021b,2026-03-12T20:47:55.399935,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,True,http_default_credentials,auth,0,0,1,0,realistic,18,h2o,ml_guided
eac37998-633f-411d-a2de-989b1c7f7879,2026-03-12T20:47:55.401585,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,True,http_default_creds_ext,auth,0,0,1,0,realistic,18,h2o,ml_guided
6cd67c9d-332f-4a25-94b4-73d69f6f176e,2026-03-12T20:47:55.402963,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_directory_listing,misconfiguration,0,0,0,0,realistic,18,h2o,ml_guided
31984d16-b2bb-4738-9668-51075cd0bf59,2026-03-12T20:47:55.404540,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_directory_traversal,path_traversal,0,0,1,0,realistic,18,h2o,ml_guided
b51803ff-2399-4200-8161-ec0a6c82ab68,2026-03-12T20:47:55.405885,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_dangerous_methods,misconfiguration,0,0,1,0,realistic,18,h2o,ml_guided
83b06739-672e-43c9-8c3a-7f5cfbf3b076,2026-03-12T20:47:55.407214,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_missing_sec_headers,hardening,0,0,1,0,realistic,18,h2o,ml_guided
7992c3de-be92-4529-b5e4-99cc167c399d,2026-03-12T20:47:55.408544,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_sensitive_files,info_disclosure,0,0,0,0,realistic,18,h2o,ml_guided
528cd77b-096d-4c65-a2d0-c14d18a77cde,2026-03-12T20:47:55.409852,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_open_admin,exposed_interface,0,0,1,0,realistic,18,h2o,ml_guided
232c0020-2209-4f46-a863-b9b18174442a,2026-03-12T20:47:55.411110,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_verbose_server,fingerprinting,0,0,1,0,realistic,18,h2o,ml_guided
c0e26f55-6602-44af-a421-890ad3cb30e4,2026-03-12T20:47:55.412430,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_no_auth,auth,0,0,0,0,realistic,18,h2o,ml_guided
906a2877-a715-4ab1-b9f9-42508cadd6e4,2026-03-12T20:47:55.413717,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_sensitive_files_ext,info_disclosure,0,0,1,0,realistic,18,h2o,ml_guided
eac9a498-32ac-409c-ae65-c9faba276521,2026-03-12T20:47:55.415036,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_open_admin_ext,exposed_interface,0,0,0,0,realistic,18,h2o,ml_guided
17f21b0a-3c9b-4109-a37c-396e535fce82,2026-03-12T20:47:55.416470,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_cors_misconfig,misconfiguration,0,0,0,0,realistic,18,h2o,ml_guided
065f0cca-b161-4d31-a236-f57bf1a748c5,2026-03-12T20:47:55.417962,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_insecure_cookies,hardening,0,0,0,0,realistic,18,h2o,ml_guided
9e8b7ee6-7cb6-48cc-861c-c07551db1bf9,2026-03-12T20:47:55.419453,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_trace_method,misconfiguration,0,0,1,0,realistic,18,h2o,ml_guided
028d5306-c74b-48d7-9721-eaeada9acf1b,2026-03-12T20:47:55.421059,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_traversal_encoded,path_traversal,0,0,0,0,realistic,18,h2o,ml_guided
b2276e0f-1b85-4203-b219-006b9a501d4a,2026-03-12T20:47:55.422659,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_sqli_probe,injection,0,0,0,0,realistic,18,h2o,ml_guided
4382fa67-1699-4942-8fcc-5a717f25cc50,2026-03-12T20:47:56.005805,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,True,http_default_credentials,auth,0,0,1,0,realistic,18,h2o,ml_guided
a727cd41-67cb-4c38-9c49-6baaa2012b9d,2026-03-12T20:47:56.007479,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,True,http_default_creds_ext,auth,0,0,1,0,realistic,18,h2o,ml_guided
3af7b450-e81d-4613-8056-481ad48bc8ee,2026-03-12T20:47:56.008874,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_directory_listing,misconfiguration,0,0,0,0,realistic,18,h2o,ml_guided
d2f8153e-57c5-4ab4-9e45-22f98053febe,2026-03-12T20:47:56.010213,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_directory_traversal,path_traversal,0,0,0,0,realistic,18,h2o,ml_guided
0a0c96a8-bacf-4b8b-b658-b1449e015a16,2026-03-12T20:47:56.011484,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_dangerous_methods,misconfiguration,0,0,0,0,realistic,18,h2o,ml_guided
e0ed4993-53f5-4ad6-a94e-c4923597b93e,2026-03-12T20:47:56.012765,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_missing_sec_headers,hardening,0,0,1,0,realistic,18,h2o,ml_guided
8b84cf3d-fd59-43d8-b738-167ee5dc2d64,2026-03-12T20:47:56.014036,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_sensitive_files,info_disclosure,0,0,1,0,realistic,18,h2o,ml_guided
77714b13-fd23-457f-8f47-72f3c3c164f0,2026-03-12T20:47:56.015341,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_open_admin,exposed_interface,0,0,1,0,realistic,18,h2o,ml_guided
520e0721-3497-4cd7-a875-1129d2f7e94b,2026-03-12T20:47:56.016615,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_verbose_server,fingerprinting,0,0,1,0,realistic,18,h2o,ml_guided
811475ba-8b95-485f-a2fb-d1184dcdaf2a,2026-03-12T20:47:56.017866,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_no_auth,auth,0,0,0,0,realistic,18,h2o,ml_guided
eac1ca89-dbfe-4674-8a6b-ecd35c6516f8,2026-03-12T20:47:56.019084,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_sensitive_files_ext,info_disclosure,0,0,1,0,realistic,18,h2o,ml_guided
eab36450-7d3d-47fb-b096-a62fa6533105,2026-03-12T20:47:56.020340,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_open_admin_ext,exposed_interface,0,0,0,0,realistic,18,h2o,ml_guided
f53f9756-0782-48a1-8d0d-e20524cfb376,2026-03-12T20:47:56.021565,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_cors_misconfig,misconfiguration,0,0,1,0,realistic,18,h2o,ml_guided
afdc3b0b-7282-42d6-975a-1342ff0128d0,2026-03-12T20:47:56.022965,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_insecure_cookies,hardening,0,0,0,0,realistic,18,h2o,ml_guided
4faf6cd0-5e69-4f78-9789-51d2cc87e10d,2026-03-12T20:47:56.024351,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_trace_method,misconfiguration,0,0,0,0,realistic,18,h2o,ml_guided
bf917dca-cc1a-4bcc-85ba-bd8ea45f894d,2026-03-12T20:47:56.025855,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_traversal_encoded,path_traversal,0,0,0,0,realistic,18,h2o,ml_guided
d25b84e3-86ec-4cc1-8209-e3ec26ce60e4,2026-03-12T20:47:56.027433,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_sqli_probe,injection,0,0,0,0,realistic,18,h2o,ml_guided
371eb909-e257-42fe-810d-bb2fd07186b8,2026-03-12T20:47:56.617491,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,True,http_default_credentials,auth,0,0,1,0,realistic,18,h2o,ml_guided
48055672-a46d-45ac-b6e2-e8a59be78833,2026-03-12T20:47:56.619169,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,True,http_default_creds_ext,auth,0,0,1,0,realistic,18,h2o,ml_guided
17e7ae3e-7ae3-4c1e-a1e1-696a304e0779,2026-03-12T20:47:56.620559,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_directory_listing,misconfiguration,0,0,1,0,realistic,18,h2o,ml_guided
4b02c5c1-904c-43f3-baab-eef54e94698a,2026-03-12T20:47:56.621859,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_directory_traversal,path_traversal,0,0,0,0,realistic,18,h2o,ml_guided
98fbc04a-7508-46e1-95ac-f77ad84cc788,2026-03-12T20:47:56.623090,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_dangerous_methods,misconfiguration,0,0,1,0,realistic,18,h2o,ml_guided
579288b3-1bd3-4f2a-8f73-4fe549e7883b,2026-03-12T20:47:56.624326,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_missing_sec_headers,hardening,0,0,1,0,realistic,18,h2o,ml_guided
26240492-a57a-43a8-930d-06df69f538d0,2026-03-12T20:47:56.625537,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_sensitive_files,info_disclosure,0,0,1,0,realistic,18,h2o,ml_guided
bd39c896-b4dc-48f9-a70f-d84da89081f1,2026-03-12T20:47:56.626809,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_open_admin,exposed_interface,0,0,1,0,realistic,18,h2o,ml_guided
f8c67477-3dfb-45d6-bc80-65e85977a021,2026-03-12T20:47:56.628074,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_verbose_server,fingerprinting,0,0,1,0,realistic,18,h2o,ml_guided
f4c6db04-bc8c-40f7-ae7d-e0c9d44e17b6,2026-03-12T20:47:56.629306,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_no_auth,auth,0,0,1,0,realistic,18,h2o,ml_guided
f6c6ca63-a40e-48ae-b72e-210ebf8f0c39,2026-03-12T20:47:56.630644,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_sensitive_files_ext,info_disclosure,0,0,1,0,realistic,18,h2o,ml_guided
c56f68f9-23b3-47e8-ba92-e28b064e78ef,2026-03-12T20:47:56.631849,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_open_admin_ext,exposed_interface,0,0,0,0,realistic,18,h2o,ml_guided
