experiment_id,timestamp,test_strategy,container_id,device_type,firmware_version,open_port,protocol,service,auth_required,test_id,test_type,payload_size,timeout,vulnerability_found,execution_time_ms,simulation_mode,simulation_iteration,automl_tool,baseline_strategy
d6fe2a55-6808-4c76-b514-5f0c81dbc78d,2026-03-12T23:56:21.880097,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,True,http_default_credentials,auth,0,0,1,0,realistic,79,h2o,ml_guided
10f56a72-bf7c-4123-87a9-8ddb57f16b47,2026-03-12T23:56:21.882182,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,True,http_default_creds_ext,auth,0,0,1,0,realistic,79,h2o,ml_guided
e53f4717-8b72-4dd5-9342-d7fd8e88a20e,2026-03-12T23:56:21.883901,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_directory_listing,misconfiguration,0,0,0,0,realistic,79,h2o,ml_guided
657c930f-322d-41f5-bb56-6e9ff4ff772a,2026-03-12T23:56:21.885856,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_directory_traversal,path_traversal,0,0,1,0,realistic,79,h2o,ml_guided
0b75a9b9-15d1-4d38-a443-e012c724bc28,2026-03-12T23:56:21.887414,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_dangerous_methods,misconfiguration,0,0,1,0,realistic,79,h2o,ml_guided
fc695e33-8c3d-4c0a-9f80-ed38936935ae,2026-03-12T23:56:21.889008,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_missing_sec_headers,hardening,0,0,1,0,realistic,79,h2o,ml_guided
edc99459-1f36-4f18-bfb9-4b9e2a1ebdee,2026-03-12T23:56:21.890642,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_sensitive_files,info_disclosure,0,0,1,0,realistic,79,h2o,ml_guided
72c98353-4725-458f-a9fc-df9d7aedc59e,2026-03-12T23:56:21.892510,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_open_admin,exposed_interface,0,0,1,0,realistic,79,h2o,ml_guided
2f32dda1-452a-4461-a6bc-7627905a8034,2026-03-12T23:56:21.894104,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_verbose_server,fingerprinting,0,0,1,0,realistic,79,h2o,ml_guided
2ba09fe8-6c5e-4230-b0f8-27df178407ca,2026-03-12T23:56:21.895687,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_no_auth,auth,0,0,0,0,realistic,79,h2o,ml_guided
d4ce8b38-6246-44e2-b529-4de8710dbfd5,2026-03-12T23:56:21.897346,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_sensitive_files_ext,info_disclosure,0,0,1,0,realistic,79,h2o,ml_guided
e41d43f2-643e-46b1-8fb8-36f5c1613afe,2026-03-12T23:56:21.898916,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_open_admin_ext,exposed_interface,0,0,0,0,realistic,79,h2o,ml_guided
fcd2cf19-f7ad-40c0-8e1f-43ce087327be,2026-03-12T23:56:21.900497,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_cors_misconfig,misconfiguration,0,0,0,0,realistic,79,h2o,ml_guided
56fcb7af-270a-49b0-afe3-cb6e9f28a49d,2026-03-12T23:56:21.902141,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_insecure_cookies,hardening,0,0,0,0,realistic,79,h2o,ml_guided
c2b88110-553c-4474-902f-405a7fe1f99a,2026-03-12T23:56:21.903719,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_trace_method,misconfiguration,0,0,1,0,realistic,79,h2o,ml_guided
67f10866-5f8c-413d-b400-b798f5e2808b,2026-03-12T23:56:21.905229,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_traversal_encoded,path_traversal,0,0,0,0,realistic,79,h2o,ml_guided
ffde0120-2893-45a5-ac1d-3a04d9392537,2026-03-12T23:56:21.906744,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_sqli_probe,injection,0,0,0,0,realistic,79,h2o,ml_guided
2d86d842-711a-412d-b3e8-699e571e32e3,2026-03-12T23:56:22.510387,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,True,http_default_credentials,auth,0,0,1,0,realistic,79,h2o,ml_guided
25a476ff-2d7d-48a6-9f07-bb52551bb615,2026-03-12T23:56:22.512343,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,True,http_default_creds_ext,auth,0,0,1,0,realistic,79,h2o,ml_guided
120d35c0-6a90-4d0a-bf54-52c9ba89dfa7,2026-03-12T23:56:22.514140,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_directory_listing,misconfiguration,0,0,0,0,realistic,79,h2o,ml_guided
2116909d-d73f-4a94-889f-957a0450b6e7,2026-03-12T23:56:22.515856,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_directory_traversal,path_traversal,0,0,0,0,realistic,79,h2o,ml_guided
1603cb8f-13bd-4c0c-b371-8968620ed0f9,2026-03-12T23:56:22.517407,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_dangerous_methods,misconfiguration,0,0,0,0,realistic,79,h2o,ml_guided
2936d579-0a09-4ec6-9b37-a16a37d56b1c,2026-03-12T23:56:22.518965,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_missing_sec_headers,hardening,0,0,1,0,realistic,79,h2o,ml_guided
b2f94036-4c43-4f55-b77d-213381635a9e,2026-03-12T23:56:22.520461,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_sensitive_files,info_disclosure,0,0,1,0,realistic,79,h2o,ml_guided
8854a730-5377-40ee-b6f8-3e856deea414,2026-03-12T23:56:22.522153,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_open_admin,exposed_interface,0,0,1,0,realistic,79,h2o,ml_guided
fcfe28a9-c2d5-4ea3-92a4-7d3c778371ef,2026-03-12T23:56:22.523672,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_verbose_server,fingerprinting,0,0,1,0,realistic,79,h2o,ml_guided
26de8712-4eca-4c2b-a545-d3b889865b84,2026-03-12T23:56:22.525169,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_no_auth,auth,0,0,0,0,realistic,79,h2o,ml_guided
e904710d-0b36-4981-b769-bb72fb3fd39e,2026-03-12T23:56:22.526689,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_sensitive_files_ext,info_disclosure,0,0,1,0,realistic,79,h2o,ml_guided
656b5a9e-cb48-44c3-8f3e-d77113197b94,2026-03-12T23:56:22.528184,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_open_admin_ext,exposed_interface,0,0,0,0,realistic,79,h2o,ml_guided
c1c201fc-5c72-4a22-9447-4bfb4b3b6a69,2026-03-12T23:56:22.529834,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_cors_misconfig,misconfiguration,0,0,1,0,realistic,79,h2o,ml_guided
fdfb50ca-b2e3-46fc-9a9d-d338ab48ea84,2026-03-12T23:56:22.531439,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_insecure_cookies,hardening,0,0,0,0,realistic,79,h2o,ml_guided
f82acd37-f583-439d-8964-10f8994808de,2026-03-12T23:56:22.532958,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_trace_method,misconfiguration,0,0,0,0,realistic,79,h2o,ml_guided
8e8523da-5e1b-4fee-94e3-9c6af6bc3fdd,2026-03-12T23:56:22.534495,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_traversal_encoded,path_traversal,0,0,0,0,realistic,79,h2o,ml_guided
48ab825e-9da4-4722-adfd-8854036f68fb,2026-03-12T23:56:22.536008,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_sqli_probe,injection,0,0,0,0,realistic,79,h2o,ml_guided
4a581d8d-3017-4433-b6d8-97c961f4778d,2026-03-12T23:56:23.201569,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,True,http_default_credentials,auth,0,0,1,0,realistic,79,h2o,ml_guided
bc989577-a5ab-4e87-86e1-8cdbbe8856a4,2026-03-12T23:56:23.203593,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,True,http_default_creds_ext,auth,0,0,1,0,realistic,79,h2o,ml_guided
9f2ab965-c454-41af-92f4-032ee5217dec,2026-03-12T23:56:23.205476,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_directory_listing,misconfiguration,0,0,1,0,realistic,79,h2o,ml_guided
5e6b952e-c859-48f5-97c3-612cfefde968,2026-03-12T23:56:23.207127,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_directory_traversal,path_traversal,0,0,0,0,realistic,79,h2o,ml_guided
aafea9e8-ca55-411a-81a8-98a89e3afd19,2026-03-12T23:56:23.208597,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_dangerous_methods,misconfiguration,0,0,1,0,realistic,79,h2o,ml_guided
d8e18fef-ec99-43e2-8250-34663be58be8,2026-03-12T23:56:23.210230,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_missing_sec_headers,hardening,0,0,1,0,realistic,79,h2o,ml_guided
9048f940-c5d7-4a4e-9f0b-f00d0d8cfb0f,2026-03-12T23:56:23.211720,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_sensitive_files,info_disclosure,0,0,1,0,realistic,79,h2o,ml_guided
32d4b6df-de8e-4c6b-b744-fec0b49a9c20,2026-03-12T23:56:23.213213,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_open_admin,exposed_interface,0,0,1,0,realistic,79,h2o,ml_guided
378545f0-de82-417a-b60d-330a2670cc19,2026-03-12T23:56:23.214685,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_verbose_server,fingerprinting,0,0,1,0,realistic,79,h2o,ml_guided
eef36ded-81b7-4572-8678-ed9acb76d182,2026-03-12T23:56:23.216198,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_no_auth,auth,0,0,1,0,realistic,79,h2o,ml_guided
9bd23902-a9da-4c3a-bd0e-9ad4a7ea05c2,2026-03-12T23:56:23.217678,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_sensitive_files_ext,info_disclosure,0,0,1,0,realistic,79,h2o,ml_guided
d310397e-8745-463c-af8b-2566be9aa30a,2026-03-12T23:56:23.219138,generated,172.20.0.15,http_server,httpd-2.4,80,http,http,False,http_open_admin_ext,exposed_interface,0,0,0,0,realistic,79,h2o,ml_guided
